sort,YearMon,Awardee,AwardName,Achievement,Organization,URL
200,2022 Sep,石川悠生,水文・水資源学会 優秀発表賞,衛星観測可動幅を用いた黄河における河川流量の空間変化の推定,水文・水資源学会,
190,2021 Sep,坂内匠,Continental UTokyo-IIS Global Engineering Fellowship,,東京大学生産技術研究所,
180,2021 Aug,Dai Yamazaki,AOGS Kamide Distinguished-Lecture Award,Recent advances in global-scale surface water hydrodynamics modelling,AOGS,https://www.asiaoceania.org/aogs2021/public.asp?page=feature_speaker.asp#distlect
170,2021 Mar,Prakat Modi,IIS PhD Student Live 2021 Grand Prize,Multivariable Integrated Evaluation of Hydrodynamic Modelling,東京大学生産技術研究所,
160,2021 Apr,"芳村圭, 山本晃輔, 可知美佐子, 沖理子, 山崎大",科学技術分野の文部科学大臣表彰 科学技術省（科学技術振興部門）,衛星データ融合陸域水循環システム開発と防災利用への貢献,文部科学省,https://www.mext.go.jp/b_menu/houdou/mext_00547.html
140,2020 Nov,田中良明,水工学論文奨励賞,「全球河川モデルに適用可能な物理的洪水防護パラメータの広域自動抽出」,土木学会　水工学委員会,
130,2020 Feb,山崎大,井上リサーチアウォード,衛星観測と数値モデルの統合による地球規模での地表水動態の解明],井上学術振興財団,http://www.inoue-zaidan.or.jp/f-03.html
120,2019Sep,塩澤拓斗,水文・水資源学会 優秀ポスター賞,衛星観測水面標高データを用いた河川氾濫モデルの河道深パラメータの改善,水文・水資源学会,
110,2019 Apr,山崎大,科学技術分野の文部科学大臣表彰 若手科学者賞,地球規模での地表水動態の研究,文部科学省,https://www.mext.go.jp/b_menu/houdou/31/04/1415044.htm
100,2019 Mar,浜田光太郎,社会基盤学科 田辺賞（優秀卒業論文）,全球スケールの高解像度河川・湖沼分類マップの開発と時系列分析,東京大学 工学部 社会基盤学科,
90,2018 Mar,"池嶋大樹, 山崎大, 鼎信次郎",水工学論文賞,全球河川モデルへのデータ同化手法の適用 -アマゾン川流域を対象にした仮想実験-,土木学会　水工学委員会,
80,2017 Jun,山崎 大,東京大学生産技術研究所 弥生賞（優秀）,地理情報ビッグデータの統合による超高解像度の全球河道網データ開発,東京大学生産技術研究所,
70,2014 Sep,"平林由希子, 渡部哲史, 木島理沙子, 山崎大, Hyungjun Kim, 鼎信次郎",水文・水資源学会 論文賞,Nature Climate Change「Global Flood Risk under Climate Change,水文・水資源学会,
60,2014 Jul,山崎 大,"Early Career Scientist Presentation Award, 2014 GEWEX conference",Global Hydrodynamic Modelling of Large-scale Flooding in Continental Rivers,WCRP/GEWEX,
50,2012 Mar,山崎 大,工学系研究科 工学系研究科長賞（研究）,論文題目「世界の大陸河川における大規模氾濫の物理モデル化に関する研究」,東京大学大学院 工学系研究科,
40,2012 Jan,山崎 大,第2回 日本学術振興会 育志賞,世界の大陸河川における大規模洪水の物理モデル化,日本学術振興会,https://www.jsps.go.jp/j-ikushi-prize/
30,2010 Mar,山崎 大,水工学論文奨励賞,グローバルな河川モデルのための河道網の自動構築,土木学会　水工学委員会,
20,2009 Mar,山崎 大,社会基盤学専攻 古市賞（最優秀修士論文）,論文題目「河道から氾濫原への洪水を考慮した全球河川流下モデルの開発」,東京大学大学院 工学系研究科 社会基盤学専攻,
10,2009 Mar,山崎 大,工学系研究科 工学系研究科長賞（研究）,論文題目「河道から氾濫原への洪水を考慮した全球河川流下モデルの開発」,東京大学大学院 工学系研究科,
